NodesFailed	VC1	VC2	VO1
0	100	100	100
1	100	100	100
2	100	100	100
3	99.999387755102	99.999387755102	99.9961038961039
4	99.9972322424752	99.9969134645423	99.9844155844156
5	99.9922836613558	99.9906897716912	99.961038961039
6	99.9829734330471	99.9781917640533	99.9220779220779
7	99.9674142009194	99.9562569732673	99.8636363636364
8	99.9433998304101	99.921085375106	99.7818181818182
9	99.908405409024	99.8682393894765	99.6727272727273
10	99.8595872463325	99.79264388042	99.5324675324675
