VMs	cdslinks
5	3.8
10	7.16129032258064
15	10.7
20	12.3529411764706
25	13.9390243902439
30	16.5360824742268
35	18.9722222222222
40	20.9913793103448
45	23.9186991869919
50	26.8358208955224
55	29.1586206896552
60	32.5686274509804
65	35.1042944785276
70	37.5290697674419
75	39.7944444444444
80	42.0160427807487
85	44.2878787878788
90	47.0287081339713
95	49.4239631336406
100	52.5265486725664
105	54.6340425531915
