NodesFailed	VO	VC1	VC2	VC3	VC4
0	100	100	100	100	100
1	100	100	100	100	100
2	100	100	100	100	100
3	99.3042476648555	99.773987146811	99.773987146811	99.773987146811	99.773987146811
4	97.2458752613758	98.8728178050013	99.0990005600161	99.0990005600161	99.0990005600161
5	93.2561348094087	96.6520758172947	97.7510246408274	97.7626587244562	97.7626587244562
6	86.966691247342	92.354896709562	95.5070183087479	95.574522269373	95.5752406530048
7	78.3182065946921	85.2844779162791	92.1546932002527	92.3804352984441	92.3852960355311
8	67.6346651501287	75.0749348109458	87.5117965860828	88.0784353521785	88.0969743388218
9	55.620123841146	62.0004145340321	81.4557883187974	82.6342582464007	82.6864480865245
10	43.2518917172031	47.166549857393	73.9624232415089	76.0939981697289	76.2142003185883
11	31.5818323853574	32.3804762554843	65.1475354988327	68.5912421837913	68.8298283274762
12	21.5015352445499	19.6071687665733	55.300668965485	60.3461143200908	60.7666260251998
13	13.552922726751	10.211829063641	44.8939552991267	51.6542592557714	52.3246470187015
14	7.85321999460861	4.45064588968326	34.5485093037332	42.8649521764251	43.8430853906493
15	4.15355705929014	1.57559272702329	24.9482679192883	34.3492416032368	35.6652300785623
16	1.99085876202958	0.438763238480965	16.7101756323608	26.4611750380401	28.1013213688765
17	0.858578714396591	0.092861350451564	10.2454842357336	19.4973741568769	21.3956864970178
18	0.330741879528436	0.01439778364311	5.6655837629215	13.6619265917543	15.7040760477054
19	0.11297779050401	0.001572634442855	2.77896288123651	9.04397997953201	11.0851104558589
20	0.033969510157858	0.000116096215512	1.18679005052057	5.61385501675198	7.50664615837452
21	0.008923677616118	0.000005543903861	0.432268427944532	3.23969826358229	4.86456615407668
22	0.002032767257452	0.000000163501779	0.131253572136678	1.72133886456142	3.00898170059659
23	0.00039848515358	0.00000000283649	0.032399314245212	0.832821483457317	1.77182462093972
24	0.000066706044986	0.000000000027502	0.006325007717691	0.362352664130894	0.990490460080648
25	0.000009461202865	0.000000000000141	0.000947564820225	0.139789033482905	0.52414758375497
26	0.000001127981405	0	0.00010542253453	0.047062197087713	0.261760929976948
27	0.000000112129456	0	0.000008405489794	0.013582420513876	0.122967521630278
28	0.000000009217715	0	0.000000462106062	0.00329391019789	0.054148824658489
29	0.000000000621392	0	0.000000016802308	0.000656437715474	0.022266291231396
30	0.000000000034058	0	0.000000000386312	0.000104869373491	0.008514414321553
31	0.000000000001504	0	0.000000000005351	0.000013065404679	0.003013736649401
32	0.000000000000053	0	0.000000000000042	0.000001231368615	0.000982346062276
33	0.000000000000001	0	0	0.000000084887792	0.000293172011169
34	0	0	0	0.000000004124986	0.000079587175099
35	0	0	0	0.000000000135665	0.000019507640084
36	0	0	0	0.000000000002888	0.000004280879786
37	0	0	0	0.000000000000038	0.000000832959104
38	0	0	0	0	0.000000142119939
39	0	0	0	0	0.000000020993703
40	0	0	0	0	0.000000002645817
