MinSize	Prob
0.6283	0.006352758085498
2.5972	0.015874997979906
3.3828	0.020958745225074
3.9776	0.023174596156011
4.5188	0.023763931010457
5.0621	0.024446372774329
5.5705	0.029264271058321
5.9966	0.02085324818535
6.5968	0.023538893784979
7.1391	0.023183241780393
7.6753	0.017161745261625
8.413	0.017305118237913
9.1348	0.019803275842047
9.7732	0.014628691052812
10.6282	0.017254665998152
11.3563	0.02538508153282
11.8476	0.017742378184823
12.5503	0.021831259298206
13.1199	0.030702904936929
13.5378	0.035238264583127
13.896	0.031196124293346
14.3033	0.027692816217622
14.7525	0.03477486267059
15.1122	0.02681453272593
15.5878	0.041706496370701
15.8889	0.025796047983538
16.3729	0.025128459196257
16.8678	0.029890658774576
17.2848	0.029402734607213
17.7132	0.023114256869014
18.2567	0.024966926312714
18.7547	0.025887389957236
19.2431	0.034504541694805
19.6065	0.030521944789953
20.0137	0.037390300597078
20.3535	0.023583559617588
20.8828	0.021281739586419
21.4677	0.01710035211677
22.2133	0.015929935809368
22.9964	0.018301481252347
23.6775	0.037582509581097
24.0101	0.029127105503794
24.4402	0.027810552513916
24.8914	0.023882659336028
25.413	0.019218394802024
26.0704	0.021510100239648
26.6601	0.013525449905832
27.5793	0.01340292884554
28.51	0.012739376710198
29.4867	0.009799366016296
30.7633	0.010914671044585
31.9062	0.011894474034328
32.9563	0.011126710759596
34.0799	0.00912923161339
35.494	0.008693107587934
36.9295	0.008991850613854
38.3173	0.010020588501547
39.5677	0.008070477869136
41.1177	0.006604248854067
43.0472	0.005858924206132
45.2039	0.005813703769515
47.3562	0.004399170295366
50.1976	0.004987574107496
52.6935	0.005484306733064
54.9602	0.005522075762416
57.2143	0.004682062881322
59.8691	0.003762346648444
63.1753	0.003249715235578
67.0054	0.002873849265491
71.4387	0.001934553026456
77.9201	0.001640622522404
85.5217	0.001458885331776
94.1668	0.001544281994318
102.2667	0.00094682786108
115.5171	0.001333734243177
125.1185	0.000651828056478
144.2648	0.000424592214271
174.1799	0.000295395656209
216.2933	0.000141485464082
304.475	0.000047831146241
565.0409	0.000003926522376
2021.0689	0
