MinSize	Prob
0.0002	0.008401675925986
2.8237	0.026064342644768
3.7629	0.034470358800586
4.4521	0.035229527417027
5.1286	0.035957233329651
5.7871	0.042965957212781
6.3451	0.038419737786826
6.9649	0.038469682197339
7.5854	0.025964293073308
8.5042	0.025412454298242
9.4581	0.019638525445245
10.6899	0.01735648271572
12.0745	0.018236205842122
13.4031	0.019170979370186
14.638	0.021969415761175
15.73	0.020366691693258
16.9101	0.018496946967921
18.2016	0.019095210860012
19.4632	0.041093980948173
20.04	0.012655961950306
21.9286	0.013153087629447
23.733	0.012386460746216
25.6909	0.012022264078937
27.6935	0.010997975668606
29.9298	0.008355418375183
32.8337	0.009764587512577
35.2599	0.009971040906475
37.6648	0.0077651018185
40.7186	0.006345620892099
44.4593	0.006807050928504
47.9531	0.005557464359314
52.2578	0.005249394093936
56.7744	0.003869731345294
63.012	0.002548028502695
72.3866	0.002432818401044
82.2901	0.001715475089435
96.18	0.001661618536623
110.7873	0.001637551267145
125.4206	0.001052282088374
147.9769	0.000351228522067
215.633	0.000297200046502
295.9517	0.00006958319705
647.6991	0.000015295768525
1019.1625	0
