VMs	FSBLinks
1	1
2	1.13833992094862
3	1.24025157232704
4	1.37069922308546
5	1.65376569037657
6	1.71740827478532
7	1.85342465753425
8	2.05514950166113
9	2.19790301441678
10	2.42129032258065
11	2.68460111317254
12	2.8890243902439
13	3.17555938037866
14	2.76608910891089
15	2.95358143257303
16	2.70173713536545
17	2.83230218169977
18	3.01154586273252
19	3.10015360983103
20	3.25659259259259
21	3.42528400815613
22	3.54754470621629
23	3.63395375070502
24	3.51789264413519
25	3.64701529353725
26	3.61465038845727
27	3.75835140997831
28	3.91026468689477
29	4.02628789484842
30	4.0662100456621
31	4.18268041237113
32	4.15408379996138
33	4.22780666281533
34	4.37820996978852
35	4.52792826452457
36	4.51490464728754
37	4.48877715927456
38	4.49452876809036
39	4.49050026146069
40	4.52433743287719
41	4.52519804483398
42	4.55489021956088
43	4.58415841584158
44	4.61191573403555
45	4.64087495919034
46	4.69194695989651
47	4.72658634538153
48	4.74623824451411
49	4.76607656226358
50	4.81633263535746
51	4.8110772799768
52	4.8440829254247
53	4.90147079822933
54	4.94690765320531
55	4.97720994475138
56	5.04683422606785
57	5.09495992392338
58	5.13191431670282
59	5.16395825075968
60	5.21420133875837
61	5.24996796925048
62	5.28001004520342
63	5.35341917739718
64	5.40749472639285
65	5.44352549068016
66	5.48853464132434
67	5.53358971277491
68	5.56241771394375
69	5.61000234796901
70	5.68465942282977
71	5.67434019300081
72	5.63701676359904
73	5.63172740607018
74	5.62147335423198
75	5.64265804437507
76	5.62510955302366
77	5.6375977410947
78	5.6511452031115
79	5.6697584124245
80	5.68715803025426
81	5.71478835696769
82	5.7364118895966
83	5.73553373720493
84	5.72702234009997
85	5.75455465587045
86	5.73270564915758
87	5.75303284347569
88	5.78813143697891
89	5.81680132385866
90	5.82540747842761
91	5.87767379679144
92	5.9054297356202
93	5.93149129447388
94	5.94293680297398
95	5.9745605920444
96	5.99372499090578
97	6.00591715976331
98	6.05951742627346
99	6.09620343202632
100	6.12091416423067
101	6.15350026450362
102	6.17560170301503
103	6.19908169453348
104	6.22526909277294
105	6.28083766067932
