NodesFailed	VC1	VC2	VO1
0	100	100	100
50	99.9999999883572	99.9999999883572	99.9999999259098
100	99.9999999039473	99.9999999039473	99.9999993887557
150	99.999999672518	99.999999672518	99.9999979160235
200	99.999999219817	99.999999219817	99.9999950351991
250	99.9999984715922	99.9999984715922	99.9999902737682
300	99.9999973535912	99.9999973535912	99.9999831592168
350	99.9999957915619	99.9999957915619	99.9999732190306
400	99.9999937112522	99.9999937112522	99.9999599806954
450	99.9999910384096	99.9999910384096	99.9999429716972
500	99.999987698782	99.999987698782	99.9999217195216
550	99.9999836181171	99.9999836181171	99.9998957516546
600	99.9999787221629	99.9999787221629	99.9998645955819
650	99.9999729366669	99.9999729366669	99.9998277787894
700	99.999966187377	99.999966187377	99.9997848287629
750	99.999958400041	99.999958400041	99.9997352729882
800	99.9999495004066	99.9999495004066	99.9996786389512
850	99.9999394142216	99.9999394142216	99.9996144541377
900	99.9999280672338	99.9999280672338	99.9995422460335
950	99.999915385191	99.999915385191	99.9994615421244
1000	99.9999012938408	99.9999012938408	99.9993718698962
1050	99.9998857189312	99.9998857189312	99.9992727568348
1100	99.9998685862098	99.9998685862098	99.9991637304261
1150	99.9998498214245	99.9998498214245	99.9990443181557
1200	99.9998293503229	99.9998293503229	99.9989140475096
1250	99.999807098653	99.999807098653	99.9987724459736
1300	99.9997829921624	99.9997829921624	99.9986190410335
1350	99.9997569565989	99.9997569565989	99.9984533601751
1400	99.9997289177104	99.9997289177104	99.9982749308843
1450	99.9996988012445	99.9996988012445	99.9980832806468
1500	99.999666532949	99.999666532949	99.9978779369485
1550	99.9996320385718	99.9996320385718	99.9976584272753
1600	99.9995952438606	99.9995952438606	99.9974242791129
1650	99.9995560745631	99.9995560745631	99.9971750199472
1700	99.9995144564272	99.9995144564272	99.9969101772639
1750	99.9994703152006	99.9994703152006	99.996629278549
1800	99.999423576631	99.999423576631	99.9963318512883
1850	99.9993741664663	99.9993741664663	99.9960174229675
1900	99.9993220104542	99.9993220104542	99.9956855210725
1950	99.9992670343426	99.9992670343426	99.9953356730891
2000	99.9992091638791	99.9992091638791	99.9949674065032
2050	99.9991483248115	99.9991483248115	99.9945802488006
2100	99.9990844428877	99.9990844428877	99.994173727467
2150	99.9990174438553	99.9990174438553	99.9937473699884
2200	99.9989472534622	99.9989472534622	99.9933007038504
2250	99.9988737974562	99.9988737974562	99.9928332565391
2300	99.9987970015849	99.9987970015849	99.9923445555402
2350	99.9987167915962	99.9987167915962	99.9918341283395
2400	99.9986330932379	99.9986330932379	99.9913015024228
2450	99.9985458322577	99.9985458322577	99.990746205276
2500	99.9984549344033	99.9984549344033	99.9901677643849
2550	99.9983603254227	99.9983603254227	99.9895657072353
2600	99.9982619310635	99.9982619310635	99.988939561313
2650	99.9981596770735	99.9981596770735	99.988288854104
2700	99.9980534892005	99.9980534892005	99.9876131130939
2750	99.9979432931922	99.9979432931922	99.9869118657686
2800	99.9978290147965	99.9978290147965	99.986184639614
2850	99.997710579761	99.997710579761	99.9854309621158
2900	99.9975879138337	99.9975879138337	99.9846503607599
2950	99.9974609427622	99.9974609427622	99.9838423630321
3000	99.9973295922943	99.9973295922943	99.9830064964183
3050	99.9971937881778	99.9971937881778	99.9821422884042
3100	99.9970534561605	99.9970534561605	99.9812492664757
3150	99.9969085219901	99.9969085219901	99.9803269581187
3200	99.9967589114144	99.9967589114144	99.9793748908188
3250	99.9966045501812	99.9966045501812	99.9783925920621
3300	99.9964453640382	99.9964453640382	99.9773795893342
3350	99.9962812787333	99.9962812787333	99.976335410121
3400	99.9961122200142	99.9961122200142	99.9752595819084
3450	99.9959381136286	99.9959381136286	99.9741516321821
3500	99.9957588853244	99.9957588853244	99.973011088428
3550	99.9955744608493	99.9955744608493	99.971837478132
3600	99.9953847659511	99.9953847659511	99.9706303287797
3650	99.9951897263776	99.9951897263776	99.9693891678572
3700	99.9949892678764	99.9949892678764	99.9681135228501
3750	99.9947833161955	99.9947833161955	99.9668029212443
3800	99.9945717970826	99.9945717970826	99.9654568905256
3850	99.9943546362854	99.9943546362854	99.9640749581799
3900	99.9941317595518	99.9941317595518	99.962656651693
3950	99.9939030926294	99.9939030926294	99.9612014985507
4000	99.9936685612661	99.9936685612661	99.9597090262388
4050	99.9934280912096	99.9934280912096	99.9581787622432
4100	99.9931816082078	99.9931816082078	99.9566102340497
4150	99.9929290380084	99.9929290380084	99.9550029691441
4200	99.9926703063591	99.9926703063591	99.9533564950122
4250	99.9924053390077	99.9924053390077	99.9516703391398
4300	99.992134061702	99.992134061702	99.9499440290129
4350	99.9918564001898	99.9918564001898	99.9481770921171
4400	99.9915722802189	99.9915722802189	99.9463690559384
4450	99.991281627537	99.991281627537	99.9445194479625
4500	99.9909843678918	99.9909843678918	99.9426277956754
4550	99.9906804270313	99.9906804270313	99.9406936265627
4600	99.990369730703	99.990369730703	99.9387164681103
4650	99.9900522046549	99.9900522046549	99.9366958478041
4700	99.9897277746347	99.9897277746347	99.9346312931299
4750	99.9893963663901	99.9893963663901	99.9325223315734
4800	99.989057905669	99.989057905669	99.9303684906206
4850	99.988712318219	99.988712318219	99.9281692977573
4900	99.988359529788	99.988359529788	99.9259242804692
4950	99.9879994661238	99.9879994661238	99.9236329662423
5000	99.9876320529741	99.9876320529741	99.9212948825622
