NodesFailed	VO	VC1	VC2	VC3	VC4	VCWC1
0	100	100	100	100	100	100
1	100	100	100	100	100	100
2	100	100	100	100	100	100
3	99.999320589429	99.999894313608	99.999894313608	99.999894313608	99.999894313608	99.999894313608
4	99.9972823853748	99.9994690879152	99.9995772550964	99.9995772550964	99.9995772550964	99.9995772550964
5	99.9932061017969	99.9984023092698	99.9989425979407	99.9989431410739	99.9989431410739	99.9989431410739
6	99.9864126647429	99.9962638232643	99.9978830354822	99.9978862897701	99.9978862932517	99.9978862862885
7	99.9762233737906	99.9925153806668	99.9962896393378	99.996301019466	99.9963010423446	99.9963009965874
8	99.9619601093194	99.9865107205478	99.9940513260434	99.9940816415399	99.9940817330524	99.9940815500274
9	99.9429455858986	99.9774957234552	99.9910543166961	99.9911224551534	99.99112273018	99.9911221801267
10	99.9185036513057	99.9646086440832	99.9871816046249	99.9873177380537	99.9873184258429	99.9873170502645
11	99.8879596313137	99.9468804609024	99.982312420895	99.9825617350392	99.9825632478051	99.9825602222734
12	99.85064071965	99.9232353751479	99.9763217047898	99.9767486440385	99.9767516688971	99.97674561918
13	99.8058764131835	99.8924914916328	99.9690795761268	99.9697726003659	99.9697782175685	99.9697669831636
14	99.7529989916088	99.8533617230534	99.9604508052	99.9615276601048	99.9615374895231	99.9615178306874
15	99.6913440413944	99.8044549657443	99.9502942951774	99.9519077796847	99.9519241604725	99.9518913988995
16	99.6202510232706	99.7442775849223	99.9384625589488	99.9408067936323	99.9408329999833	99.9407805872882
17	99.5390638826414	99.6712352736871	99.9248012038331	99.9281183910202	99.9281588864247	99.9280778956322
18	99.4471317021068	99.5836353238185	99.9091484221836	99.9137360886397	99.9137968230101	99.9136753543063
19	99.34380939523	99.4796893819349	99.8913344835153	99.8975532039104	99.8976419549344	99.8974644529651
20	99.2284584405164	99.3575167351689	99.8711812342792	99.8794628230788	99.8795895876043	99.8793360587143
21	99.1004476542979	99.2151481986518	99.8485016030052	99.8593577716721	99.8595352059319	99.8591803377277
22	98.959154001521	99.0505306556921	99.8230991151401	99.837130576852	99.8373744947359	99.8368866595641
23	98.8039634426728	98.8615323277859	99.7947674124534	99.81267343408	99.813003360192	99.8123435090586
24	98.6342718155054	98.6459488238703	99.7632897829902	99.7858781687354	99.7863179523664	99.7854383870426
25	98.4494857496624	98.4015100359523	99.7284387026069	99.7566361951978	99.7572146888017	99.7560577049486
26	98.2490236123572	98.1258879442219	99.6899753847938	99.7248384764344	99.7255902791572	99.7240866793793
27	98.0323164830742	97.8167053837509	99.6476493470016	99.6903754806798	99.6913417508982	99.6894092198272
28	97.798809154993	97.471545820558	99.6011979849168	99.6531371352659	99.6543664760166	99.6519078096804
29	97.5479611607986	97.0879641980726	99.5503461690798	99.6130127821447	99.6145621987819	99.6114633896073
30	97.2792478202203	96.663498876066	99.4948058540373	99.5698911282238	99.5718270644961	99.5679552295911
31	96.9921613068098	96.1956847045912	99.4342757062785	99.5236601970825	99.5260596492806	99.5212608027322
32	96.686211730694	95.6820672453993	99.3684407552411	99.474207278136	99.4771589908259	99.4712556530302
33	96.360928234517	95.1202181546189	99.2969720659815	99.4214188738879	99.4250246201329	99.4178132584088
34	96.0158600993041	94.5077517123846	99.2195264346762	99.3651806478444	99.3695565942298	99.360804894163
35	95.6505778567477	93.8423424857787	99.1357461136969	99.3053773697239	99.3106555298297	99.3000994901416
36	95.2646744044176	93.1217440759546	99.0452585657587	99.2418928615507	99.2482226379221	99.2355634888749
37	94.8577661202225	92.3438088943642	98.947676248784	99.1746099403224	99.1821597592859	99.1670606960567
38	94.42949397234	91.5065088861871	98.8425964392003	99.103410363324	99.1123694009148	99.0944521355651
39	93.9795246204606	90.6079570908967	98.7296010867404	99.0281747707763	99.0387547733085	99.0175958984728
40	93.5075515043861	89.6464299186652	98.6082567196234	98.948782628469	98.9612198286337	98.9363469913806
