NodesFailed	VO	VC1	VC2	VC3	VC4	VC5
0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	1.03162711688215	1.03162711688215	0.79529928647617	0.79529928647617	0.79529928647617	0.79529928647617
4	4.06312814527415	4.06312814527415	3.1530022532978	3.14347659687009	3.14347659687009	3.14347659687009
5	9.85055684119425	9.85055684119425	7.71991699191036	7.67499865702196	7.67452571647809	7.67452571647809
6	18.7313002238524	18.7313002238524	14.8861498194622	14.7631087710718	14.7605165273487	14.7604889498653
7	30.4401747160255	30.4401747160255	24.6434460451693	24.3917279307639	24.3837652924297	24.3835958655069
8	44.0555267219638	44.0555267219638	36.4986410586038	36.0782799443122	36.0605197667253	36.0599528715094
9	58.15890787186	58.15890787186	49.5045494892426	48.9078701358907	48.8762718816196	48.8749268427817
10	71.2013145278739	71.2013145278739	62.4381700220102	61.7037431039429	61.6568803039694	61.6543860003545
