20M  3.1 1.54 0.23 1.33
35M  2.9 1.4 0.17    1.328
50M  2.86 1.38 0.15  1.33
75M  2.84 1.37 0.15  1.33
100M 2.834 1.36 0.15 1.33
200M 2.823 1.35 0.15  1.33
